split,scene,num_views,view_policy,group_key,all_candidates,rgbd_source_depth_selected,delta_run30_minus_rgb_only
test,scene0012_00,5,diversity_aware,scene0012_00_5_diversity_aware,0.5670170895651958,0.4104488776880137,-0.15656821187718212
val,scene0011_00,5,diversity_aware,scene0011_00_5_diversity_aware,0.1870835675987966,0.1146981855646499,-0.0723853820341467
val,scene0011_00,4,diversity_aware,scene0011_00_4_diversity_aware,0.1561942425123582,0.0984482333550326,-0.0577460091573256
val,scene0011_00,3,diversity_aware,scene0011_00_3_diversity_aware,0.0972831967428347,0.0565836989518811,-0.040699497790953595
test,scene0011_01,3,diversity_aware,scene0011_01_3_diversity_aware,0.2103199349726316,0.1792104063536019,-0.031109528619029714
test,scene0013_00,3,diversity_aware,scene0013_00_3_diversity_aware,0.2973872372422392,0.2691794080659039,-0.028207829176335297
test,scene0012_01,3,diversity_aware,scene0012_01_3_diversity_aware,0.0922046966200624,0.0790015244912838,-0.013203172128778612
val,scene0009_00,3,diversity_aware,scene0009_00_3_diversity_aware,0.0618100362708756,0.0522546238103788,-0.0095554124604968
test,scene0012_00,3,diversity_aware,scene0012_00_3_diversity_aware,0.4199060402684564,0.4156563638500411,-0.004249676418415282
val,scene0009_02,3,diversity_aware,scene0009_02_3_diversity_aware,0.0430693837345318,0.0408633730391199,-0.002206010695411896
val,scene0010_01,4,hybrid,scene0010_01_4_hybrid,0.0773556377674119,0.0798552612899664,0.002499623522554492
val,scene0009_01,3,diversity_aware,scene0009_01_3_diversity_aware,0.0503723030607125,0.053175895459246,0.0028035923985335054
val,scene0010_00,3,diversity_aware,scene0010_00_3_diversity_aware,0.0881379310344827,0.0914726698518098,0.0033347388173270986
val,scene0010_01,3,diversity_aware,scene0010_01_3_diversity_aware,0.023148982957669,0.033623883967957,0.010474901010287998
test,scene0012_02,3,diversity_aware,scene0012_02_3_diversity_aware,0.0414920678714305,0.053608158562864,0.012116090691433504
test,scene0012_02,4,diversity_aware,scene0012_02_4_diversity_aware,0.0579945115947797,0.0735359048368757,0.015541393242096004
test,scene0012_02,5,diversity_aware,scene0012_02_5_diversity_aware,0.0426722714307161,0.0596381747206892,0.0169659032899731
val,scene0009_02,4,diversity_aware,scene0009_02_4_diversity_aware,0.2239328332530452,0.2657828682376771,0.04185003498463191
test,scene0013_00,5,diversity_aware,scene0013_00_5_diversity_aware,0.3338188509507258,0.3768996321597477,0.04308078120902192
test,scene0013_01,3,diversity_aware,scene0013_01_3_diversity_aware,0.1234297242770679,0.1685255765083227,0.0450958522312548
test,scene0011_01,4,diversity_aware,scene0011_01_4_diversity_aware,0.1685991426410019,0.2141390398809864,0.0455398972399845
test,scene0012_01,5,diversity_aware,scene0012_01_5_diversity_aware,0.0155188794153471,0.0628264830356502,0.04730760362030309
val,scene0009_02,4,hybrid,scene0009_02_4_hybrid,0.3435808763762654,0.4062875530027366,0.06270667662647122
val,scene0009_00,4,diversity_aware,scene0009_00_4_diversity_aware,0.1621151705456652,0.2265336095374989,0.06441843899183369
val,scene0010_00,4,diversity_aware,scene0010_00_4_diversity_aware,0.0498144707071679,0.1146793167149406,0.0648648460077727
val,scene0009_01,4,diversity_aware,scene0009_01_4_diversity_aware,0.2507545847591336,0.3292383770144224,0.07848379225528879
val,scene0010_00,5,diversity_aware,scene0010_00_5_diversity_aware,0.0475424610051993,0.1395245350907789,0.0919820740855796
val,scene0010_01,4,diversity_aware,scene0010_01_4_diversity_aware,0.0593970581928899,0.179682283879236,0.12028522568634609
test,scene0013_01,4,diversity_aware,scene0013_01_4_diversity_aware,0.1871712242322254,0.3495528310384516,0.16238160680622618
val,scene0009_00,5,hybrid,scene0009_00_5_hybrid,0.1076570612050488,0.2893105793370833,0.1816535181320345
test,scene0012_01,4,diversity_aware,scene0012_01_4_diversity_aware,0.046243432373523,0.2521401380734241,0.20589670569990112
test,scene0013_01,5,diversity_aware,scene0013_01_5_diversity_aware,0.1191176708544746,0.3795432522418377,0.2604255813873631
test,scene0013_00,4,diversity_aware,scene0013_00_4_diversity_aware,0.3204807730632454,0.6242436911668344,0.303762918103589
test,scene0011_01,5,diversity_aware,scene0011_01_5_diversity_aware,0.0873127674200019,0.4823723252656501,0.3950595578456482
val,scene0009_01,4,hybrid,scene0009_01_4_hybrid,0.1202541790319065,0.5838666423722989,0.4636124633403924
test,scene0012_00,4,diversity_aware,scene0012_00_4_diversity_aware,0.0331589274035317,0.52526711841362,0.49210819101008824
